Product Name,Price,Image URL,Category,Brand
"TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV","Rs.300,000.00","Assets/img/Products/TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV.webm",LED,TCL
Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series,"Rs.23,735.00",Assets/img/Products/Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series.webm,Air Conditioner ,Gree
GS-18FITH6C/6S/6G GREE Split Ac 1.5 TON (Inverter)- Fairy Econo Series,"Rs.202,000.00",Assets/img/Products/GS-18FITH6C/6S/6G GREE Split Ac 1.5 TON (Inverter)- Fairy Econo Series.webm,Air Conditioner ,Gree
Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series,"Rs.23,735.00",Assets/img/Products/Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series.webm,Air Conditioner ,Gree
Gree 2 Ton 24PITH10W Cool Only Inverter Air Conditioner,"Rs.275,000.00",Assets/img/Products/Gree 2 Ton 24PITH10W Cool Only Inverter Air Conditioner.webm,Air Conditioner ,Gree
GREE Split AC 2 TON Fiary (Inverter),"Rs.353,500.00",Assets/img/Products/GREE Split AC 2 TON Fiary (Inverter).webm,Air Conditioner ,Gree
Hisense INVERTER SPLIT AC 18TQ 60HC - 1.5 TON,"Rs.160,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 18TQ 60HC - 1.5 TON.webm,Air Conditioner ,Hisense 
Hisense INVERTER SPLIT AC 18TG 75HCI 2 TON - Black,"Rs.185,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 18TG 75HCI 2 TON - Black.webm,Air Conditioner ,Hisense 
Hisense 24FS-CPA 2 Ton Round Shape Cabinet Non Inverter AC,"Rs.300,000.00",Assets/img/Products/Hisense 24FS-CPA 2 Ton Round Shape Cabinet Non Inverter AC.webm,Air Conditioner ,Hisense 
Hisense INVERTER SPLIT AC 24TV 60HC - 2 TON,"Rs.225,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 24TV 60HC - 2 TON.webm,Air Conditioner ,Hisense 
Kenwood ESupereme Inverter Split Air Conditioners Heat and Cool 1.0 Ton -KET-1246,"Rs.166,650.00",Assets/img/Products/Kenwood ESupereme Inverter Split Air Conditioners Heat and Cool 1.0 Ton -KET-1246.webm,Air Conditioner ,Kenwood 
Kenwood 1 Ton Split AC Upto 75% E-Smart Platinum KES-1261S,"Rs.202,000.00",Assets/img/Products/Kenwood 1 Ton Split AC Upto 75% E-Smart Platinum KES-1261S.webm,Air Conditioner ,Kenwood 
Kenwood 2.0 Ton-KEI-2441 F E IMPERIAL PLUS Non Inverter Heat And Cool Floor Standing Cabinet,"Rs.292,900.00",Assets/img/Products/Kenwood 2.0 Ton-KEI-2441 F E IMPERIAL PLUS Non Inverter Heat And Cool Floor Standing Cabinet.webm,Air Conditioner ,Kenwood 
Kenwood 2.0 TON E Signature Inverter Floor Standing AC Model KEI-2447FHI,"Rs.404,000.00",Assets/img/Products/Kenwood 2.0 TON E Signature Inverter Floor Standing AC Model KEI-2447FHI.webm,Air Conditioner ,Kenwood 
PEL ACE-APEX PRINVO-18K Inverter 1.5 Ton Heat and Cool Split AC,"Rs.188,355.00",Assets/img/Products/PEL ACE-APEX PRINVO-18K Inverter 1.5 Ton Heat and Cool Split AC.webm,Air Conditioner ,Pel 
PEL Floor Standing Inverter Cabinet PFSAC-24K Bold 2.0 Ton,"Rs.354,500.00",Assets/img/Products/PEL Floor Standing Inverter Cabinet PFSAC-24K Bold 2.0 Ton.webm,Air Conditioner ,Pel 
Pel PSAC 18 Majestic E52-4D Air Conditioner 1.5 Ton,"Rs.161,085.00",Assets/img/Products/Pel PSAC 18 Majestic E52-4D Air Conditioner 1.5 Ton.webm,Air Conditioner ,Pel 
Pel 24K Supreme Floor Standing Cabinet Inverter Heat And Cool 2.0 Ton Air Conditioner,"Rs.405,000.00",Assets/img/Products/Pel 24K Supreme Floor Standing Cabinet Inverter Heat And Cool 2.0 Ton Air Conditioner.webm,Air Conditioner ,Pel 
Kenwood Steam Iron -ST-767,"Rs.28,715.00",Assets/img/Products/Kenwood Steam Iron -ST-767.webm,Iron,Kenwood 
Kenwood Steam Iron -ISP-100 BL,"Rs.29,088.00",Assets/img/Products/Kenwood Steam Iron -ISP-100 BL.webm,Iron,Kenwood 
Kenwood Steam Iron ISP200GR,"Rs.28,278.00",Assets/img/Products/Kenwood Steam Iron ISP200GR.webm,Iron,Kenwood 
Kenwood Steam Iron -ISP-201,"Rs.24,983.00",Assets/img/Products/Kenwood Steam Iron -ISP-201.webm,Iron,Kenwood 
National Gold (NG) - Dry Iron - 1200 W- NG786-186,"Rs.5,555.00",Assets/img/Products/National Gold (NG) - Dry Iron - 1200 W- NG786-186.webm,Iron,National Gold 
National Gold Heavy Dry Iron Ng-786-M92,"Rs.6,565.00",Assets/img/Products/National Gold Heavy Dry Iron Ng-786-M92.webm,Iron,National Gold 
National Gold NG-124A Dry Iron 1000W,"Rs.5,555.00",Assets/img/Products/National Gold NG-124A Dry Iron 1000W.webm,Iron,National Gold 
National Gold (M92B) - Dry Iron - Golden Plate - Heavy Weight,"Rs.6,565.00",Assets/img/Products/National Gold (M92B) - Dry Iron - Golden Plate - Heavy Weight.webm,Iron,National Gold 
Panasonic Non-Stick Dry Iron NI-317T,"Rs.8,500.00",Assets/img/Products/Panasonic Non-Stick Dry Iron NI-317T.webm,Iron,Panasonic 
Panasonic Automatic Dry Iron NI-25AWT,"Rs.15,755.00",Assets/img/Products/Panasonic Automatic Dry Iron NI-25AWT.webm,Iron,Panasonic 
"Panasonic Automatic Dry Iron, 1000W, NI-313","Rs.10,500.00","Assets/img/Products/Panasonic Automatic Dry Iron, 1000W, NI-313.webm",Iron,Panasonic 
Panasonic Dry Iron NI-22AWTX,"Rs.13,715.00",Assets/img/Products/Panasonic Dry Iron NI-22AWTX.webm,Iron,Panasonic 
Westpoint Deluxe Steam Iron WF-2063,"Rs.9,375.00",Assets/img/Products/Westpoint Deluxe Steam Iron WF-2063.webm,Iron,Westpoint 
Westpoint Deluxe Dry Iron WF-772,"Rs.6,250.00",Assets/img/Products/Westpoint Deluxe Dry Iron WF-772.webm,Iron,Westpoint 
Westpoint Deluxe Garment Steamer 2 Liter WF-1154,"Rs.22,255.00",Assets/img/Products/Westpoint Deluxe Garment Steamer 2 Liter WF-1154.webm,Iron,Westpoint 
Westpoint Deluxe Handy Garment Steamer WF-1253,"Rs.9,375.00",Assets/img/Products/Westpoint Deluxe Handy Garment Steamer WF-1253.webm,Iron,Westpoint 
Dawlance Spectrum Series HD TV 32-Inches E3A HD TV,"Rs.45,450.00",Assets/img/Products/Dawlance Spectrum Series HD TV 32-Inches E3A HD TV.webm,LED,Dawlance 
Dawlance/Dawlance 50 - Inches 4K UHD LED TV Canvas series 50G3AP Narrow Bezel Screen,"Rs.156,550.00",Assets/img/Products/Dawlance/Dawlance 50 - Inches 4K UHD LED TV Canvas series 50G3AP Narrow Bezel Screen.webm,LED,Dawlance 
Dawlance 55 - Inches 4K UHD LED TV Canvas series 55G3AP Narrow Bezel Screen,"Rs.181,800.00",Assets/img/Products/Dawlance 55 - Inches 4K UHD LED TV Canvas series 55G3AP Narrow Bezel Screen.webm,LED,Dawlance 
Dawlance 65 - Inches 4K UHD LED TV Canvas series 65G3AP Narrow Bezel Screen,"Rs.277,750.00",Assets/img/Products/Dawlance 65 - Inches 4K UHD LED TV Canvas series 65G3AP Narrow Bezel Screen.webm,LED,Dawlance 
"Philips 8100 Series 55 inch 55PQT816998 4K Ultra HD QLED Smart TV with Dolby Vision, Dolby Atmos, Android TV, HDR10, Ambilight, and Voice Control.html","Rs.260,000.00","Assets/img/Products/Philips 8100 Series 55 inch 55PQT816998 4K Ultra HD QLED Smart TV with Dolby Vision, Dolby Atmos, Android TV, HDR10, Ambilight, and Voice Control.html.webm",LED,Philips 
Philips 43-Inches Ultra Slim Full HD Smart LED TV - 43PFT5813-98,"Rs.108,838.00",Assets/img/Products/Philips 43-Inches Ultra Slim Full HD Smart LED TV - 43PFT5813-98.webm,LED,Philips 
Philips 559M1RYV 55 inch 4K HDR display Monitor with Ambiglow,"Rs.557,852.00",Assets/img/Products/Philips 559M1RYV 55 inch 4K HDR display Monitor with Ambiglow.webm,LED,Philips 
"Philips 6600 series, 65 inch 4K UHD LED Smart TV 4k 65PUT6654_98","Rs.357,216.00","Assets/img/Products/Philips 6600 series, 65 inch 4K UHD LED Smart TV 4k 65PUT6654_98.webm",LED,Philips 
Samsung Smart Led TV 32T5300 - 32 Inches,"Rs.151,500.00",Assets/img/Products/Samsung Smart Led TV 32T5300 - 32 Inches.webm,LED,Samsung 
Samsung 55 inch Crystal UHD 4K DU7000,"Rs.210,999.00",Assets/img/Products/Samsung 55 inch Crystal UHD 4K DU7000.webm,LED,Samsung 
Samsung 55 inch QLED 4K Q60D,"Rs.255,999.00",Assets/img/Products/Samsung 55 inch QLED 4K Q60D.webm,LED,Samsung 
Samsung 85 inch QLED 4K Q70D,"Rs.895,000.00",Assets/img/Products/Samsung 85 inch QLED 4K Q70D.webm,LED,Samsung 
TCL 189 cm (75 inches) 4K Ultra HD Smart QLED Google TV 75C655 (Black),"Rs.400,000.00",Assets/img/Products/TCL 189 cm (75 inches) 4K Ultra HD Smart QLED Google TV 75C655 (Black).webm,LED,TCL
"TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV","Rs.300,000.00","Assets/img/Products/TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV.webm",LED,TCL
"TCL 55-P8K 55 inch 4K QLED HDR Smart TV, 4K Ultra HD, Google TV with 144Hz Motion Clarity Pro and Onkyo 2.1 sound","Rs.300,000.00","Assets/img/Products/TCL 55-P8K 55 inch 4K QLED HDR Smart TV, 4K Ultra HD, Google TV with 144Hz Motion Clarity Pro and Onkyo 2.1 sound.webm",LED,TCL
"TCL 65-P8K 65 inch 4K QLED HDR Smart TV, 4K Ultra HD, Google TV with 144Hz Motion Clarity Pro and Onkyo 2.1 sound","Rs.300,000.00","Assets/img/Products/TCL 65-P8K 65 inch 4K QLED HDR Smart TV, 4K Ultra HD, Google TV with 144Hz Motion Clarity Pro and Onkyo 2.1 sound.webm",LED,TCL
Dawlance REF 9191 WB CHROME RRO 438LTR - 15 CFT,"Rs.136,350.00",Assets/img/Products/Dawlance REF 9191 WB CHROME RRO 438LTR - 15 CFT.webm,Refrigerator ,Dawlance 
Dawlance DSS-9055 INV INOX Double Door Refrigerator- 18 CFT,"Rs.338,350.00",Assets/img/Products/Dawlance DSS-9055 INV INOX Double Door Refrigerator- 18 CFT.webm,Refrigerator ,Dawlance 
Dawlance Glass Door Refrigerator 13 CFT 9169 WB AVANTE Plus Inverter,"Rs.121,200.00",Assets/img/Products/Dawlance Glass Door Refrigerator 13 CFT 9169 WB AVANTE Plus Inverter.webm,Refrigerator ,Dawlance 
Dawlance Glass Door Refrigerator 13 CFT 9169 WB AVANTE,"Rs.111,100.00",Assets/img/Products/Dawlance Glass Door Refrigerator 13 CFT 9169 WB AVANTE.webm,Refrigerator ,Dawlance 
Kenwood Sapphire Series Refrigerator (KRF-24457 GD),"Rs.112,989.00",Assets/img/Products/Kenwood Sapphire Series Refrigerator (KRF-24457 GD).webm,Refrigerator ,Kenwood 
Kenwood Refrigerator Krf-22257 220-L (VCM) SHL Classic Plus,"Rs.77,092.00",Assets/img/Products/Kenwood Refrigerator Krf-22257 220-L (VCM) SHL Classic Plus.webm,Refrigerator ,Kenwood 
Kenwood Inverter Glass Door Freezer-on-top Refrigerator 18-CFT (KRF-26657),"Rs.338,350.00",Assets/img/Products/Kenwood Inverter Glass Door Freezer-on-top Refrigerator 18-CFT (KRF-26657).webm,Refrigerator ,Kenwood 
Kenwood KRF-25557 New Classic Plus VCM Refrigerator - 15 CFT,"Rs.107,789.00",Assets/img/Products/Kenwood KRF-25557 New Classic Plus VCM Refrigerator - 15 CFT.webm,Refrigerator ,Kenwood 
Orient Refrigirator Marvel GD INV 350 Ltr,"Rs.69,044.00",Assets/img/Products/Orient Refrigirator Marvel GD INV 350 Ltr.webm,Refrigerator ,Orient 
Orient Refrigirator Crystal GD 380 Ltr,"Rs.107,000.00",Assets/img/Products/Orient Refrigirator Crystal GD 380 Ltr.webm,Refrigerator ,Orient 
Orient Refrigirator Grand VCM 545 Ltr,"Rs.114,500.00",Assets/img/Products/Orient Refrigirator Grand VCM 545 Ltr.webm,Refrigerator ,Orient 
Orient Refrigirator LVO VCM 260 Ltr,"Rs.77,400.00",Assets/img/Products/Orient Refrigirator LVO VCM 260 Ltr.webm,Refrigerator ,Orient 
PEL Refrigerator PRGD-2000 - 6 CFT,"Rs.69,044.00",Assets/img/Products/PEL Refrigerator PRGD-2000 - 6 CFT.webm,Refrigerator ,Pel 
Pel Glass Door Refrigerator - 16 CFT,"Rs.121,988.00",Assets/img/Products/Pel Glass Door Refrigerator - 16 CFT.webm,Refrigerator ,Pel 
Pel Prinvo Inverteron Curved Glass Door Refrigerator - 16 CFT,"Rs.133,487.00",Assets/img/Products/Pel Prinvo Inverteron Curved Glass Door Refrigerator - 16 CFT.webm,Refrigerator ,Pel 
Pel Refrigerator PRL 2000 - 6 CFT,"Rs.65,992.00",Assets/img/Products/Pel Refrigerator PRL 2000 - 6 CFT.webm,Refrigerator ,Pel 
Boss Twin Tub Washing Machine KE-8500-BS (Gray) 9-Kg,"Rs.43,430.00",Assets/img/Products/Boss Twin Tub Washing Machine KE-8500-BS (Gray) 9-Kg.webm,Washing Machine ,Boss 
Baby Washing Machine KE-600 (4Kg),"Rs.25,250.00",Assets/img/Products/Baby Washing Machine KE-600 (4Kg).webm,Washing Machine ,Boss 
Boss Single Washing Machine K.E 4500-BS (Pure White Built In Sink) 12Kg,"Rs.29,290.00",Assets/img/Products/Boss Single Washing Machine K.E 4500-BS (Pure White Built In Sink) 12Kg.webm,Washing Machine ,Boss 
Boss Spin Dryer KE-400+BS-White 07Kg,"Rs.23,735.00",Assets/img/Products/Boss Spin Dryer KE-400+BS-White 07Kg.webm,Washing Machine ,Boss 
Dawlance Single Tub Washing Machine DW-9100 CLEAR LID 12kg,"Rs.45,450.00",Assets/img/Products/Dawlance Single Tub Washing Machine DW-9100 CLEAR LID 12kg.webm,Washing Machine ,Dawlance 
Dawlance DW-6550 Glass Lid Washing Machine 8KG,"Rs.59,590.00",Assets/img/Products/Dawlance DW-6550 Glass Lid Washing Machine 8KG.webm,Washing Machine ,Dawlance 
Dawlance DWT 270 C LVS+ Washing Machine 12KG,"Rs.117,160.00",Assets/img/Products/Dawlance DWT 270 C LVS+ Washing Machine 12KG.webm,Washing Machine ,Dawlance 
Dawlance Single Tub Washing Machine DW-9100 CLEAR LID 12kg,"Rs.45,450.00",Assets/img/Products/Dawlance Single Tub Washing Machine DW-9100 CLEAR LID 12kg.webm,Washing Machine ,Dawlance 
PEL Washing Machine PWMS 8050 - 8Kg,"Rs.34,835.00",Assets/img/Products/PEL Washing Machine PWMS 8050 - 8Kg.webm,Washing Machine ,Pel 
PEL PAWM-1100i Fully Auto Washing Machine - 11 KG,"Rs.114,827.00",Assets/img/Products/PEL PAWM-1100i Fully Auto Washing Machine - 11 KG.webm,Washing Machine ,Pel 
PEL PWMS-1050 Semi Auto Twin Tub Washing Machine - 10Kg,"RRs.40,746.00",Assets/img/Products/PEL PWMS-1050 Semi Auto Twin Tub Washing Machine - 10Kg.webm,Washing Machine ,Pel 
PEL Washing Machine Fully Auto PAWM-900,"Rs.88,176.00",Assets/img/Products/PEL Washing Machine Fully Auto PAWM-900.webm,Washing Machine ,Pel 
Samsung Top Load Washing Machine WA-12CG5441BY - 12KG,"Rs.202,000.00",Assets/img/Products/Samsung Top Load Washing Machine WA-12CG5441BY - 12KG.webm,Washing Machine ,Samsung 
Samsung Fully-Automatic Front Load Washing Machine WW70J3283,"Rs.161,600.00",Assets/img/Products/Samsung Fully-Automatic Front Load Washing Machine WW70J3283.webm,Washing Machine ,Samsung 
Samsung Washing Machine WA90T5260 Top Load 9kg,"Rs.141,400.00",Assets/img/Products/Samsung Washing Machine WA90T5260 Top Load 9kg.webm,Washing Machine ,Samsung 
Samsung WA13T5260BVURT Top Load Washing Machine (13 Kg),"Rs.202,000.00",Assets/img/Products/Samsung WA13T5260BVURT Top Load Washing Machine (13 Kg).webm,Washing Machine ,Samsung 
"Homage Water Dispenser HWD-49332 P - Plastic, 3 Tap With Ref","Rs.45,450.00","Assets/img/Products/Homage Water Dispenser HWD-49332 P - Plastic, 3 Tap With Ref.webm",Water Dispenser ,Homage 
Homage 3 Taps Glass Door Water Dispenser Blue - HWD-49432,"Rs.46,460.00",Assets/img/Products/Homage 3 Taps Glass Door Water Dispenser Blue - HWD-49432.webm,Water Dispenser ,Homage 
Homage HWD-49331P Water Dispenser Without Refrigerator Cabinet,"Rs.40,450.00",Assets/img/Products/Homage HWD-49331P Water Dispenser Without Refrigerator Cabinet.webm,Water Dispenser ,Homage 
Homage Table Top Water Dispenser HWD-49320,"Rs.40,400.00",Assets/img/Products/Homage Table Top Water Dispenser HWD-49320.webm,Water Dispenser ,Homage 
PEL Water Dispenser PWD-425 Flat GD,"Rs.48,490.00",Assets/img/Products/PEL Water Dispenser PWD-425 Flat GD.webm,Water Dispenser ,Pel 
PEL 316 Premier Water Dispenser,"Rs.48,700.00",Assets/img/Products/PEL 316 Premier Water Dispenser.webm,Water Dispenser ,Pel 
